Time (s),PPG Value
3.85246,0.258
3.863164,0.1772
3.873184,0.1275
3.883188,-0.0427
3.893028,-0.3671
3.902876,-0.6497
3.913384,-0.9244
3.923224,-1.0
3.933048,-0.873
3.942888,-0.8072
3.952728,-0.781
3.96324,-0.7059
3.973064,-0.4902
3.982924,-0.2579
3.9928,-0.0939
4.002636,-0.0779
4.01316,-0.3074
4.02306,0.116
4.033064,0.5499
4.043068,0.6034
4.05376,0.5986
4.064456,0.5771
4.076072,0.4304
4.08608,0.2418
4.096088,0.164
4.106108,0.118
4.116852,0.0213
4.128248,-0.9378
4.138076,-1.0
4.147892,-1.0
4.157712,-1.0
4.168212,-1.0
4.178052,-0.6046
4.187952,0.0771
4.198004,-0.039
4.207856,-0.2304
4.218368,-0.6134
4.228204,-0.858
4.238112,0.2743
4.248116,0.6305
4.25816,0.6389
4.268852,0.6076
4.278876,0.563
4.288888,0.5141
4.29892,0.4161
4.308928,0.4048
4.319648,0.3405
4.32964,-0.0553
4.339464,-0.5219
4.349316,-0.7285
4.359176,-0.8826
4.369724,-0.7789
4.379556,-0.6187
4.389396,-0.5629
4.399236,-0.5435
4.409084,-0.5525
4.419636,-0.5321
4.429492,-0.3933
4.439356,-0.1793
4.449272,0.0662
4.459292,0.297
4.4693,0.352
4.4807,0.3029
4.49232,0.1454
4.502264,-0.1154
4.51214,-0.0871
4.52214,0.0767
4.532852,0.1372
4.542932,0.0953
4.55284,-0.2643
4.562704,-0.7391
4.572572,-1.0
4.583076,-1.0
4.592896,-0.6712
4.602744,-0.4705
4.612592,-0.4138
4.622436,-0.4774
4.632972,-0.4678
4.64282,-0.4014
4.652664,-0.4218
4.662516,-0.2852
4.67244,0.035
4.683132,0.2937
4.693192,0.3357
4.703196,0.308
4.713212,0.2688
4.723224,0.2379
4.733916,0.1953
4.743952,0.1081
4.753848,-0.2218
4.7637,-0.4885
4.773524,-0.6633
4.78406,-0.6615
4.7939,-0.6144
4.803744,-0.6503
4.81358,-0.6805
4.823412,-0.4809
4.83392,-0.2713
4.843764,-0.1776
4.85364,-0.1777
4.863492,-0.2331
4.873348,-0.26
4.883188,-0.1579
4.893736,-0.0112
4.903772,0.2765
4.913772,0.3619
4.923772,0.3864
4.934488,0.372
4.945184,0.3352
4.956828,0.1739
4.966756,-0.164
4.976584,-0.4507
4.986432,-0.5521
4.996976,-0.5102
5.006816,-0.4355
5.01666,-0.5842
5.026488,-0.6298
5.036304,-0.5269
5.046836,-0.506
5.056652,-0.4911
5.066496,-0.2693
5.07636,-0.1189
5.08622,-0.2336
5.096744,-0.4473
5.106588,-0.2851
5.116452,-0.0491
5.126484,0.3875
5.136492,0.5256
5.14724,0.4934
5.15726,0.4117
5.167276,0.3497
5.1773,0.3122
5.187324,0.2455
5.19804,0.1214
5.207988,-0.0557
5.21784,-0.4101
5.227696,-0.7114
5.237532,-0.719
5.247376,-1.0
5.25788,-1.0
5.2677,-0.7597
5.277544,-0.6672
5.287396,-0.6697
5.297256,-0.6679
5.307812,-0.5021
5.317652,-0.1799
5.327512,-0.1057
5.337356,-0.0297
5.347404,0.2019
5.358112,0.4388
5.36886,0.4868
5.380488,0.3898
5.390508,0.2983
5.400536,0.1864
5.411268,0.1396
5.421288,0.0604
5.43116,-0.2355
5.440988,-0.5842
5.45084,-0.8904
5.461356,-1.0
5.47116,-1.0
5.480976,-0.8007
5.490792,-0.8137
5.500616,-0.7913
5.511152,-0.7915
