Time (s),PPG Value
7.279996,0.059
7.289888,-0.0894
7.299912,0.1277
7.309936,0.3919
7.319976,0.5008
7.330012,0.5908
7.340084,0.593
7.350124,0.495
7.36018,0.2904
7.370124,-0.2393
7.379984,-0.394
7.389896,-0.4782
7.399788,-0.5112
7.408104,-0.4793
7.417992,-0.3912
7.42784,-0.3383
7.43774,-0.3397
7.44762,-0.3552
7.4575,-0.3795
7.465824,-0.3872
7.475696,-0.4113
7.485588,-0.4449
7.49544,-0.4331
7.505292,-0.3998
7.515144,-0.3219
7.523456,-0.2731
7.53332,-0.2701
7.543216,-0.2714
7.553088,-0.2767
7.562964,-0.2497
7.572828,-0.2688
7.58112,-0.2622
7.591012,-0.2608
7.600868,-0.2102
7.610748,-0.1836
7.620636,-0.1574
7.630524,-0.2079
7.638868,-0.2603
7.648752,-0.3315
7.658644,-0.3685
7.668504,-0.3419
7.678392,-0.2352
7.688312,-0.1669
7.696628,-0.1274
7.706524,-0.1237
7.716408,-0.1648
7.726284,-0.163
7.736164,-0.2302
7.746072,-0.2035
7.755928,-0.1006
7.764292,0.0151
7.774352,0.0057
7.784208,-0.0129
7.79408,-0.0816
7.803932,-0.0615
7.813824,-0.2517
7.823708,-0.2525
7.832004,-0.2204
7.8419,-0.03
7.851748,-0.059
7.861616,-0.1734
7.871492,-0.4729
7.88136,-0.5088
7.889656,-0.2817
7.899684,0.0971
7.909712,0.332
7.919748,0.4195
7.929976,0.3774
7.940004,0.2932
7.950108,0.0739
7.960008,-0.1952
7.969892,-0.2423
7.979772,-0.0735
7.989816,0.128
7.99988,0.3113
8.009921,0.466
8.019932,0.5246
8.029945,0.5494
8.040013,0.5317
8.050096,0.4508
8.060149,0.2978
8.07016,-0.1103
8.080033,-0.3415
8.089897,-0.4791
8.099792,-0.5686
8.109668,-0.6242
8.117973,-0.605
8.127837,-0.4891
8.137677,-0.3564
8.147548,-0.2548
8.157441,-0.1902
8.165744,-0.1693
8.175633,-0.1522
8.185524,-0.1379
8.195401,-0.1356
8.205308,-0.1327
8.215188,-0.0944
8.223505,-0.0929
8.233385,-0.1204
8.243265,-0.183
8.253136,-0.4115
8.26306,-0.6604
8.272936,-0.7161
8.282816,-0.5622
8.291132,-0.4422
8.301029,-0.2669
8.310956,-0.1357
8.32084,-0.223
8.33072,-0.3486
8.340588,-0.3992
8.348913,-0.488
8.358784,-0.5458
8.368648,-0.6307
8.378513,-0.768
8.388373,-0.8305
8.398233,-0.8294
8.40654,-0.7433
8.416453,-0.5658
8.426317,-0.4094
8.436188,-0.4076
8.446068,-0.2933
8.455957,-0.2805
8.464297,-0.2754
8.474188,-0.3038
8.484052,-0.3681
8.493932,-0.2754
8.503785,-0.0782
8.51384,0.1742
8.523864,0.3087
8.534092,0.2745
8.544137,0.1017
8.554057,-0.1649
8.563948,-0.3583
8.572237,-0.4369
8.582069,-0.4254
8.59194,-0.2933
8.601813,-0.099
8.611812,0.0855
8.621885,0.1557
8.632,0.1395
8.642045,0.1082
8.6521,0.0807
8.662144,0.048
8.672224,0.1404
8.682256,0.2459
8.692296,0.3267
8.702384,0.3697
8.712429,0.3551
8.7225,0.2579
8.732548,0.0727
8.742404,-0.2509
8.752268,-0.3918
8.762148,-0.4722
8.772056,-0.552
8.780348,-0.5681
8.790225,-0.5447
8.800116,-0.518
8.809968,-0.4547
8.819889,-0.4068
8.829736,-0.3642
8.838052,-0.3254
8.847936,-0.2785
8.857812,-0.2111
8.867705,-0.1925
8.877613,-0.1876
8.887489,-0.1577
8.895825,-0.1509
8.905696,-0.155
8.915584,-0.1422
8.925517,-0.0936
8.9354,-0.0483
8.945328,0.0077
8.955372,0.0291
8.965424,0.0437
8.975521,0.0497
8.985585,0.0293
8.995664,0.027
9.005708,-0.0143
9.015608,-0.164
9.025501,-0.3607
9.033821,-0.5234
9.043704,-0.5991
9.053588,-0.7124
9.063472,-0.8185
9.073356,-0.9589
9.083232,-0.9047
9.091532,-0.8706
9.101401,-0.7477
9.111265,-0.7533
9.121149,-0.8024
9.131065,-0.7691
9.140953,-0.7001
9.149252,-0.6247
9.159129,-0.5177
9.169009,-0.5279
9.178896,-0.6084
9.188764,-0.6273
9.198633,-0.4648
9.206964,-0.3181
9.21684,-0.14
9.22672,-0.0614
9.236732,0.045
9.246792,0.0716
9.256813,0.1451
9.26686,0.2474
9.277089,0.2656
9.287153,0.2767
9.297201,0.2453
9.307249,0.1935
9.317296,0.1524
9.327344,0.124
9.337449,0.0322
9.347529,0.1376
9.357588,0.2696
9.367636,0.3372
9.377669,0.3564
9.387772,0.3674
9.397825,0.3229
9.40788,0.2274
9.417964,0.0229
9.427828,-0.3036
9.437736,-0.4238
9.447616,-0.4604
9.457485,-0.3946
9.467365,-0.3599
9.477252,-0.2955
9.487156,-0.2851
9.495472,-0.2939
9.50534,-0.2706
9.515213,-0.2521
9.525096,-0.2892
9.535013,-0.333
9.544888,-0.3404
